 NOMBRE : beijing_v32e50.dat
 COMENTARIO : 0
 VERTICES : 32
 ARISTAS_REQ : 50
 ARISTAS_NOREQ : 0
 VEHICULOS : 10
 CAPACIDAD : 50
 TIPO_COSTES_ARISTAS : EXPLICITOS 
 COSTE_TOTAL_REQ : 390
LISTA_ARISTAS_REQ :
 ( 1, 2)   coste 6   demanda 2
 ( 1, 8)   coste 7   demanda 3
 ( 1, 32)   coste 9   demanda 3
 ( 2, 3)   coste 7   demanda 5
 ( 2, 9)   coste 7   demanda 7
 ( 2, 31)   coste 8   demanda 5
 ( 3, 4)   coste 6   demanda 3
 ( 3, 10)   coste 8   demanda 9
 ( 3, 30)   coste 9   demanda 7
 ( 4, 11)   coste 8   demanda 10
 ( 31, 32)   coste 6   demanda 4
 ( 30, 31)   coste 7   demanda 5
 ( 27, 30)   coste 6   demanda 9
 ( 4, 27)   coste 9   demanda 1
 ( 4, 5)   coste 8   demanda 7
 ( 5, 6)   coste 5   demanda 6
 ( 5, 12)   coste 8   demanda 1
 ( 6, 13)   coste 8   demanda 2
 ( 8, 9)   coste 6   demanda 1
 ( 9, 10)   coste 7   demanda 8
 ( 10, 11)   coste 6   demanda 10
 ( 11, 12)   coste 8   demanda 6
 ( 12, 13)   coste 5   demanda 2
 ( 8, 15)   coste 10   demanda 7
 ( 9, 16)   coste 10   demanda 7
 ( 10, 17)   coste 10   demanda 3
 ( 11, 18)   coste 9   demanda 2
 ( 12, 19)   coste 10   demanda 3
 ( 13, 20)   coste 11   demanda 6
 ( 15, 16)   coste 5   demanda 5
 ( 16, 17)   coste 7   demanda 7
 ( 17, 18)   coste 7   demanda 3
 ( 18, 19)   coste 6   demanda 10
 ( 19, 20)   coste 6   demanda 1
 ( 6, 7)   coste 9   demanda 1
 ( 7, 14)   coste 7   demanda 4
 ( 13, 14)   coste 9   demanda 9
 ( 14, 28)   coste 9   demanda 10
 ( 14, 21)   coste 11   demanda 10
 ( 28, 29)   coste 11   demanda 10
 ( 20, 21)   coste 9   demanda 6
 ( 21, 29)   coste 9   demanda 4
 ( 16, 22)   coste 9   demanda 8
 ( 17, 23)   coste 9   demanda 1
 ( 18, 24)   coste 9   demanda 4
 ( 22, 23)   coste 7   demanda 10
 ( 23, 24)   coste 6   demanda 5
 ( 22, 25)   coste 7   demanda 7
 ( 25, 26)   coste 7   demanda 8
 ( 23, 26)   coste 7   demanda 7
 DEPOSITO :	11
